OAKB;Khwaja Rawash, Kabul, Afghanistan
KZRK;Van Galder Bus Terminal, Rockford, United States of America
KZRL;Lancaster PA Rail, Lancaster, United States of America
KZRP;Newark NJ Rail, Newark, United States of America
KZRT;Hartford CT Rail, Hartford, United States of America
KZRU;Boston RT128 Rail, Boston, United States of America
KZRV;Providence Rail, Providence, United States of America
KZRZ;New Carrolton RR, Washington, United States of America
KZSF;Springfield MA RR, Springfield, United States of America
KZTD;Schenectady Rail, Schenectady, United States of America
KZTE;Rochester NY Rail, Rochester, United States of America
KZTF;Stamford Rail STN, Westchester County, United States of America
KZTJ;Princeton JT Rail, Princeton, United States of America
KZTN;Trenton Rail STN, Philadelphia, United States of America
KZTO;Boston South Rail, Boston, United States of America
KZTY;Boston BKBAY Rail, Boston, United States of America
KZUA;Utica NNY Rail, Utica, United States of America
KZUG;Harrisburg Rail, Harrisburg, United States of America
KZUN;Union Railway Service, Chicago, United States of America
KZVE;New Haven Rail, New Haven, United States of America
KZWB;Williamsburg Rail, Hampton, United States of America
KZWI;Wilmington Rail, Wilmington, United States of America
KZWU;Washington DC Rail, Washington, United States of America
KZWW;Newport News Rail, Hampton, United States of America
KZXS;Exchange St Railway Svc, Buffalo, United States of America
KZYP;New York Penn STN, New York, United States of America
KZYQ;Syracuse NY Rail, Syracuse, United States of America
KZZV;Zanesville Municipal Airport, OH, Zanesville, United States of America
PAAQ;Municipal, Palmer, United States of America
PABE;Bethel Airport, Bethel, United States of America
PABI;Allen AAF, Delta Junction, United States of America
PABR;Wiley Post-Will Rogers Memorial Airport, Barrow, United States of America
PABT;Bettles Airport, Bettles, United States of America
PACV;Mudhole Smith Airport, Cordova, United States of America
PADK;Adak Island Naval Air Station, Adak Island, United States of America
PADL;Municipal, Dillingharn, United States of America
PAED;Elmendorf AFB, Anchorage, United States of America
PAEI;Eielson AFB, Fairbanks, United States of America
PAEN;Kenai Municipal, Kenai, United States of America
PAFA;International, Fairbanks, United States of America
PAFR;Bryant AAF, Fort Richardson, United States of America
PAGY;Municipal, Skagway, United States of America
PAJN;Juneau International, Juneau, United States of America
PAKT;International, Ketchikan, United States of America
PAMD;Intermediate, Middleton Island, United States of America
PAMR;Merrill Field, Anchorage, United States of America
PANC;International, Anchorage, United States of America
PANT;Annette Island Airport, Annette, United States of America
PASN;St Paul Island Airport, St Paul Island, United States of America
PASV;Sparrevohn AFS, Sparrevohn, United States of America
PASY;Shemya AFB, Shemya, United States of America
PATA;Ralph Calhoun Memorial Airport, Tanana, United States of America
PATC;Tin City AFS, Tin City, United States of America
PATK;Talkeetna Airport, Talkeetna, United States of America
PATL;Tatalina AFS, Tatalina, United States of America
PAUN;Unalakleet Municipal Airport, Unalakleet, United States of America
PAVD;Municipal, Vaidez, United States of America
PAYA;Yakutat Airport, Yakutat, United States of America
PHDH;Dillingham AFB, Mokuleia-Oahu, United States of America
PHKO;Keahole, Kona, United States of America
PHTO;Hilo international, Hilo, United States of America
PPIZ;Dew Station, Point Lay, United States of America
KLHM;Lincoln Regional/Karl Harder Field, Lincoln, California, United States of America
SUMU;Carrasco, Montevideo, Uruguay
UTTT;Vostochny, Tashkent, Uzbekistan
SVBC;Gen J A Anzoategui, Barcelona, Venezuela
SVBS;B. A. Sucre, Maracay, Venezuela
SVCP;Gen. Jose, Carupano, Venezuela
SVJC;Josefa Camejo, Las Piedras, Venezuela
SVMC;La Chinita, Maracaibo, Venezuela
SVMD;A Carnevalli, Merida, Venezuela
SVMG;Del Caribe Gen S Marino, Margarita, Venezuela
SVMI;Maiquetia Aerop. Intl. Simon Bolivar, Caracas, Venezuela
SVMT;Quiriquire, Maturin, Venezuela
SVPM;Paramillo, San Cristobal, Venezuela
SVSA;Del Tachira, San Antonio, Venezuela
SVSE;De Uairen, Santa Elena, Venezuela
SVSO;Mayo Guerrero, Santo Domingo, Venezuela
SVSR;Las Flecheras, San Fernando De Apure, Venezuela
SVST;EI Tigre, San Tome, Venezuela
SVSZ;L Delicias, Santa Barbara Zulia, Venezuela
SVVA;Arturo Michelena International, Valencia, Venezuela
SVVG;Perez Alph, El Vigia, Venezuela
SVVL;Carvajal, Valera, Venezuela
VVDN;Da Nang Airport, Da Nang City, Vietnam
VVGL;Gialam, Hanoi, Vietnam
VVPB;Phu Bai, Hue, Vietnam
TUPJ;Road Town/Tortola Beef Island, Tortola, Virgin Islands (British)
TIST;H.S. Truman, St Thomas Island / C. Amalie, Virgin Islands (US)
TISX;Alex Hamilton, St Croix Island, Virgin Islands (US)
PMDY;Sand Island Field, Midway Island, Wake/Midway Islands
OYAA;International, Aden, Yemen
OYHD;Hodeidah Arpt, Hodeidah, Yemen
OYSN;Sana'a International, Sana'a, Yemen
OYTZ;AIJanad, Taiz, Yemen
FVHA;Kutsaga, Harare, Zimbabwe
